Numero|FIFADisplayName|Country|LastName|FirstName|ShirtName|POS|Height|Caps|Goals
1|Nahuel GUZMAN|Argentina|GUZMÁN|Nahuel Ignacio|GUZMÁN|GK|192|6|0
2|Gabriel MERCADO|Argentina|MERCADO|Gabriel Ivan|MERCADO|DF|181|20|3
3|Nicolas TAGLIAFICO|Argentina|TAGLIAFICO|Nicolás Alejandro|TAGLIAFICO|DF|169|4|0
4|Cristian ANSALDI|Argentina|ANSALDI|Cristian Daniel|ANSALDI|DF|181|5|1
5|Lucas BIGLIA|Argentina|BIGLIA|Lucas Rodrigo|BIGLIA|MF|175|57|1
6|Federico FAZIO|Argentina|FAZIO|Federico Julián|FAZIO|DF|199|9|1
7|Ever BANEGA|Argentina|BANEGA|Ever Maximiliano David|BANEGA|MF|175|62|6
8|Marcos ACUNA|Argentina|ACUÑA|Marcos Javier|ACUÑA|DF|172|10|0
9|Gonzalo HIGUAIN|Argentina|HIGUAIN|Gonzalo Gerardo|HIGUAÍN|FW|184|72|31
10|Lionel MESSI|Argentina|MESSI|Lionel Andres|MESSI|FW|170|124|64
11|Angel DI MARIA|Argentina|DI MARIA|Angel Fabian|DI MARÍA|MF|178|94|19
12|Franco ARMANI|Argentina|ARMANI|Franco|ARMANI|GK|189|0|0
13|Maximiliano MEZA|Argentina|MEZA|Maximiliano Eduardo|MEZA|MF|180|2|0
14|Javier MASCHERANO|Argentina|MASCHERANO|Javier Alejandro|MASCHERANO|DF|174|143|3
15|Enzo PEREZ|Argentina|PEREZ|Enzo Nicolas|PÉREZ|MF|178|23|1
16|Marcos ROJO|Argentina|ROJO|Faustino Marcos Alberto|MARCOS ROJO|DF|189|56|2
17|Nicolas OTAMENDI|Argentina|OTAMENDI|Nicolas Hernan Gonzalo|OTAMENDI|DF|181|54|4
18|Eduardo SALVIO|Argentina|SALVIO|Eduardo Antonio|SALVIO|DF|167|9|0
19|Sergio AGUERO|Argentina|AGÜERO|Sergio Leonel|KUN AGUERO|FW|172|85|37
20|Giovani LO CELSO|Argentina|LO CELSO|Giovani|LO CELSO|MF|177|5|0
21|Paulo DYBALA|Argentina|DYBALA|Paulo Exequiel|DYBALA|FW|177|12|0
22|Cristian PAVON|Argentina|PAVÓN|Cristian David|PAVÓN|MF|169|5|0
23|Wilfredo CABALLERO|Argentina|CABALLERO|Wilfredo Daniel|CABALLERO|GK|186|3|0
1|Mathew RYAN|Australia|RYAN|Mathew David|RYAN|GK|184|44|0
2|Milos DEGENEK|Australia|DEGENEK|Milos|DEGENEK|DF|187|18|0
3|James MEREDITH|Australia|MEREDITH|James Gregory|MEREDITH|DF|179|2|0
4|Tim CAHILL|Australia|CAHILL|Timothy Filiga|CAHILL|FW|180|106|50
5|Mark MILLIGAN|Australia|MILLIGAN|Mark Daniel|MILLIGAN|DF|178|68|6
6|Matthew JURMAN|Australia|JURMAN|Matthew John|JURMAN|DF|190|4|0
7|Mathew LECKIE|Australia|LECKIE|Mathew Allan|LECKIE|FW|181|53|8
8|Massimo LUONGO|Australia|LUONGO|Massimo Corey|LUONGO|MF|176|36|5
9|Tomi JURIC|Australia|JURIC|Tomi|JURIC|FW|190|35|8
10|Robbie KRUSE|Australia|KRUSE|Robbie Thomas|KRUSE|FW|180|64|5
11|Andrew NABBOUT|Australia|NABBOUT|Andrew|NABBOUT|FW|178|4|1
12|Brad JONES|Australia|JONES|Bradley Scott|JONES|GK|193|6|0
13|Aaron MOOY|Australia|MOOY|Aaron Frank|MOOY|MF|173|34|5
14|Jamie MacLAREN|Australia|MACLAREN|Jamie|MACLAREN|FW|178|6|0
15|Mile JEDINAK|Australia|JEDINAK|Michael John|JEDINAK|MF|188|76|18
16|Aziz BEHICH|Australia|BEHICH|Aziz|BEHICH|DF|170|23|2
17|Daniel ARZANI|Australia|ARZANI|Daniel|ARZANI|FW|171|2|1
18|Danny VUKOVIC|Australia|VUKOVIC|Daniel|VUKOVIC|GK|187|1|0
19|Joshua RISDON|Australia|RISDON|Joshua Robert|RISDON|DF|169|8|0
20|Trent SAINSBURY|Australia|SAINSBURY|Trent Lucas|SAINSBURY|DF|183|35|3
21|Dimitrios PETRATOS|Australia|PETRATOS|Dimitrios|PETRATOS|FW|176|2|0
22|Jackson IRVINE|Australia|IRVINE|Jackson Alexander|IRVINE|MF|180|19|2
23|Tom ROGIC|Australia|ROGIC|Tomas Petar|ROGIC|MF|189|37|7
1|Thibaut COURTOIS|Belgium|COURTOIS|Thibaut Nicolas|COURTOIS|GK|199|58|0
2|Toby ALDERWEIRELD|Belgium|ALDERWEIRELD|Toby Albertine|ALDERWEIRELD|DF|186|77|3
3|Thomas VERMAELEN|Belgium|VERMAELEN|Thomas|VERMAELEN|DF|183|66|1
4|Vincent KOMPANY|Belgium|KOMPANY|Vincent Jean|KOMPANY|DF|190|77|4
5|Jan VERTONGHEN|Belgium|VERTONGHEN|Jan Bert|VERTONGHEN|DF|189|102|8
6|Axel WITSEL|Belgium|WITSEL|Axel Laurent|WITSEL|MF|186|90|9
7|Kevin DE BRUYNE|Belgium|DE BRUYNE|Kevin|DE BRUYNE|MF|181|62|14
8|Marouane FELLAINI|Belgium|FELLAINI-BAKKIOUI|Marouane|FELLAINI|MF|194|82|17
9|Romelu LUKAKU|Belgium|LUKAKU BOLINGOLI|Romelu|R. LUKAKU|FW|190|69|36
10|Eden HAZARD|Belgium|HAZARD|Eden Michael|E. HAZARD|FW|173|86|22
11|Yannick CARRASCO|Belgium|FERREIRA CARRASCO|Yannick|CARRASCO|MF|180|26|5
12|Simon MIGNOLET|Belgium|MIGNOLET|Simon Luc|MIGNOLET|GK|193|21|0
13|Koen CASTEELS|Belgium|CASTEELS|Koen|CASTEELS|GK|197|0|0
14|Dries MERTENS|Belgium|MERTENS|Dries|MERTENS|FW|169|69|14
15|Thomas MEUNIER|Belgium|MEUNIER|Thomas|MEUNIER|DF|190|25|5
16|Thorgan HAZARD|Belgium|HAZARD|Thorgan Ganael Francis|T. HAZARD|MF|174|11|1
17|Youri TIELEMANS|Belgium|TIELEMANS|Youri|TIELEMANS|MF|176|9|0
18|Adnan JANUZAJ|Belgium|JANUZAJ|Adnan|JANUZAJ|FW|180|8|0
19|Moussa DEMBELE|Belgium|DEMBELE|Moussa Sidi Yaya|DEMBELE|MF|185|76|5
20|Dedryck BOYATA|Belgium|BOYATA|Dedryck Anga|BOYATA|DF|188|7|0
21|Michy BATSHUAYI|Belgium|BATSHUAYI TUNGA|Michy|BATSHUAYI|FW|185|16|7
22|Nacer CHADLI|Belgium|CHADLI|Nacer|CHADLI|MF|187|45|5
23|Leander DENDONCKER|Belgium|DENDONCKER|Leander|DENDONCKER|DF|188|5|0
1|ALISSON|Brazil|BECKER|Alisson Ramses|A. BECKER|GK|193|26|0
2|THIAGO SILVA|Brazil|EMILIANO DA SILVA|Thiago|T. SILVA|DF|183|71|5
3|MIRANDA|Brazil|MIRANDA DE SOUZA FILHO|Joao|MIRANDA|DF|186|47|2
4|PEDRO GEROMEL|Brazil|TONON GEROMEL|Pedro|GEROMEL|DF|190|2|0
5|CASEMIRO|Brazil|CASIMIRO|Carlos Henrique|CASEMIRO|MF|185|24|0
6|FILIPE LUIS|Brazil|KASMIRSKI|Filipe Luis|FILIPE LUIS|DF|182|33|2
7|DOUGLAS COSTA|Brazil|COSTA DE SOUZA|Douglas|D. COSTA|FW|182|25|3
8|RENATO AUGUSTO|Brazil|SOARES DE OLIVEIRA AUGUSTO|Renato|R. AUGUSTO|MF|186|28|5
9|GABRIEL JESUS|Brazil|DE JESUS|Gabriel Fernando|G. JESUS|FW|175|17|10
10|NEYMAR|Brazil|DA SILVA SANTOS JUNIOR|Neymar|NEYMAR JR|FW|175|85|55
11|PHILIPPE COUTINHO|Brazil|COUTINHO CORREIA|Philippe|P. COUTINHO|MF|172|36|10
12|MARCELO|Brazil|VIEIRA DA SILVA JUNIOR|Marcelo|MARCELO|DF|174|55|6
13|MARQUINHOS|Brazil|AOAS CORREA|Marcos|MARQUINHOS|DF|183|26|0
14|DANILO|Brazil|DA SILVA|Danilo Luiz|DANILO|DF|184|18|0
15|PAULINHO|Brazil|BEZERRA MACIEL JÚNIOR|José Paulo|PAULINHO|MF|181|50|12
16|CASSIO|Brazil|RAMOS|Cassio|CASSIO|GK|195|1|0
17|FERNANDINHO|Brazil|ROZA|Fernando Luiz|FERNANDINHO|MF|179|44|2
18|FRED|Brazil|RODRIGUES DE PAULA SANTOS|Frederico|FRED|MF|169|8|0
19|WILLIAN|Brazil|BORGES DA SILVA|Willian|WILLIAN|MF|175|57|8
20|ROBERTO FIRMINO|Brazil|BARBOSA DE OLIVEIRA|Roberto Firmino|FIRMINO|FW|181|21|6
21|TAISON|Brazil|BARCELLOS FREDA|Taison|TAISON|FW|172|8|1
22|FAGNER|Brazil|CONSERVA LEMOS|Fagner|FAGNER|DF|168|4|0
23|EDERSON|Brazil|SANTANA DE MORAES|Ederson|EDERSON|GK|188|1|0
1|David OSPINA|Colombia|OSPINA RAMIREZ|David|OSPINA|GK|183|83|0
2|Cristian ZAPATA|Colombia|ZAPATA VALENCIA|Cristian Eduardo|C. ZAPATA|DF|187|52|2
3|Oscar MURILLO|Colombia|MURILLO MURILLO|Oscar Fabian|O. MURILLO|DF|184|13|0
4|Santiago ARIAS|Colombia|ARIAS NARANJO|Santiago|ARIAS|DF|177|41|0
5|Wilmar BARRIOS|Colombia|BARRIOS TERAN|Wilmar Enrique|BARRIOS|MF|178|10|0
6|Carlos SANCHEZ|Colombia|SANCHEZ MORENO|Carlos Alberto|C. SANCHEZ|MF|182|80|0
7|Carlos BACCA|Colombia|BACCA AHUMADA|Carlos Arturo|BACCA|FW|181|45|14
8|Abel AGUILAR|Colombia|AGUILAR TAPIAS|Abel Enrique|AGUILAR T.|MF|185|69|8
9|Radamel FALCAO|Colombia|GARCIA ZARATE|Radamel Falcao|FALCAO|FW|177|65|29
10|James RODRIGUEZ|Colombia|RODRIGUEZ RUBIO|James David|JAMES|MF|180|63|21
11|Juan CUADRADO|Colombia|CUADRADO BELLO|Juan Guillermo|CUADRADO|MF|179|69|7
12|Camilo VARGAS|Colombia|VARGAS GIL|Camilo Andres|C. VARGAS|GK|185|5|0
13|Yerry MINA|Colombia|MINA GONZALEZ|Yerry Fernando|Y. MINA|DF|194|12|3
14|Luis MURIEL|Colombia|MURIEL FRUTO|Luis Fernando|L. MURIEL|FW|178|18|2
15|Mateus URIBE|Colombia|URIBE VILLA|Andres Mateus|M. URIBE|MF|182|8|0
16|Jefferson LERMA|Colombia|LERMA SOLIS|Jefferson Andrés|J. LERMA|MF|179|5|0
17|Johan MOJICA|Colombia|MOJICA PALACIO|Johan Andrés|J. MOJICA|DF|185|4|1
18|Farid DIAZ|Colombia|DIAZ RHENALS|Farid Alfonso|F. DIAZ|DF|170|13|0
19|Miguel BORJA|Colombia|BORJA HERNANDEZ|Miguel Angel|M. BORJA|FW|183|7|2
20|Juan QUINTERO|Colombia|QUINTERO PANIAGUA|Juan Fernando|J. QUINTERO|MF|169|15|2
21|Jose IZQUIERDO|Colombia|IZQUIERDO MENA|José Heriberto|IZQUIERDO|FW|171|5|1
22|Jose CUADRADO|Colombia|CUADRADO ROMERO|José Fernando|J.F. CUADRADO|GK|180|1|0
23|Davinson SANCHEZ|Colombia|SANCHEZ MINA|Davinson|D. SANCHEZ|DF|187|9|0
1|Keylor NAVAS|Costa Rica|NAVAS GAMBOA|Keilor Antonio|K. NAVAS|GK|185|81|0
2|Johnny ACOSTA|Costa Rica|ACOSTA ZAMORA|Jhonny|J. ACOSTA|DF|176|66|2
3|Giancarlo GONZALEZ|Costa Rica|GONZALEZ CASTRO|Giancarlo|G. GONZALEZ|DF|186|68|2
4|Ian SMITH|Costa Rica|SMITH QUIROS|Ian Rey|I. SMITH|DF|177|4|0
5|Celso BORGES|Costa Rica|BORGES MORA|Celso|C. BORGES|MF|187|111|18
6|Oscar DUARTE|Costa Rica|DUARTE GAITAN|Oscar Esau|O. DUARTE|DF|186|36|2
7|Christian BOLANOS|Costa Rica|BOLAÑOS NAVARRO|Christian|C. BOLAÑOS|MF|178|82|7
8|Bryan OVIEDO|Costa Rica|OVIEDO JIMENEZ|Bryan Josue|B. OVIEDO|DF|172|42|1
9|Daniel COLINDRES|Costa Rica|COLINDRES SOLERA|Daniel|D. COLINDRES|MF|180|11|0
10|Bryan RUIZ|Costa Rica|RUIZ GONZALEZ|Bryan Jafet|BRYAN|MF|187|109|24
11|Johan VENEGAS|Costa Rica|VENEGAS ULLOA|Johan Alberto|J. VENEGAS|FW|183|47|10
12|Joel CAMPBELL|Costa Rica|CAMPBELL SAMUELS|Joel Nathaniel|J. CAMPBELL|FW|178|77|15
13|Rodney WALLACE|Costa Rica|WALLACE BURNS|Rodney|R. WALLACE|MF|180|28|4
14|Randall AZOFEIFA|Costa Rica|AZOFEIFA CORRALES|Randall|R. AZOFEIFA|MF|182|59|3
15|Francisco CALVO|Costa Rica|CALVO QUESADA|Francisco Javier|F. CALVO|DF|180|36|4
16|Cristian GAMBOA|Costa Rica|GAMBOA LUNA|Cristian Esteban|C. GAMBOA|DF|175|68|3
17|Yeltsin TEJEDA|Costa Rica|TEJEDA VALVERDE|Yeltsin Ignacio|Y. TEJEDA|MF|179|49|0
18|Patrick PEMBERTON|Costa Rica|PEMBERTON BERNARD|Patrick Alberto|P. PEMBERTON|GK|178|39|0
19|Kendall WASTON|Costa Rica|WASTON MANLEY|Kendall Jamaal|K. WASTON|DF|196|25|2
20|David GUZMAN|Costa Rica|GUZMAN PEREZ|David|D. GUZMAN|MF|176|45|0
21|Marcos URENA|Costa Rica|UREÑA PORRAS|Marcos Danilo|M. UREÑA|FW|181|62|14
22|Ronald MATARRITA|Costa Rica|MATARRITA ULATE|Ronald Alberto|R. MATARRITA|DF|175|23|2
23|Leonel MOREIRA|Costa Rica|MOREIRA LEDEZMA|Leonel Gerardo|L. MOREIRA|GK|179|9|0
1|Dominik LIVAKOVIC|Croatia|LIVAKOVIĆ|Dominik|LIVAKOVIĆ|GK|188|1|0
2|Sime VRSALJKO|Croatia|VRSALJKO|Šime|VRSALJKO|DF|181|35|0
3|Ivan STRINIC|Croatia|STRINIĆ|Ivan|STRINIĆ|DF|186|43|0
4|Ivan PERISIC|Croatia|PERIŠIĆ|Ivan|PERIŠIĆ|FW|186|66|18
5|Vedran CORLUKA|Croatia|ĆORLUKA|Vedran|ĆORLUKA|DF|192|99|4
6|Dejan LOVREN|Croatia|LOVREN|Dejan|LOVREN|DF|188|39|2
7|Ivan RAKITIC|Croatia|RAKITIĆ|Ivan|RAKITIĆ|MF|184|92|14
8|Mateo KOVACIC|Croatia|KOVAČIĆ|Mateo|KOVAČIĆ|MF|178|41|1
9|Andrej KRAMARIC|Croatia|KRAMARIĆ|Andrej|KRAMARIĆ|FW|177|31|9
10|Luka MODRIC|Croatia|MODRIĆ|Luka|MODRIĆ|MF|172|106|12
11|Marcelo BROZOVIC|Croatia|BROZOVIĆ|Marcelo|BROZOVIĆ|MF|181|35|6
12|Lovre KALINIC|Croatia|KALINIĆ|Lovre|L. KALINIĆ|GK|201|11|0
13|Tin JEDVAJ|Croatia|JEDVAJ|Tin|JEDVAJ|DF|184|12|0
14|Filip BRADARIC|Croatia|BRADARIĆ|Filip|BRADARIĆ|MF|186|4|0
15|Duje CALETA-CAR|Croatia|ĆALETA-CAR|Duje|ĆALETA-CAR|DF|192|1|0
16|Nikola KALINIC|Croatia|KALINIĆ|Nikola|N. KALINIĆ|FW|187|42|15
17|Mario MANDZUKIC|Croatia|MANDŽUKIĆ|Mario|MANDŽUKIĆ|FW|190|83|30
18|Ante REBIC|Croatia|REBIĆ|Ante|REBIĆ|FW|185|16|1
19|Milan BADELJ|Croatia|BADELJ|Milan|BADELJ|MF|186|38|1
20|Marko PJACA|Croatia|PJACA|Marko|PJACA|FW|186|16|1
21|Domagoj VIDA|Croatia|VIDA|Domagoj|VIDA|DF|184|59|2
22|Josip PIVARIC|Croatia|PIVARIĆ|Josip|PIVARIĆ|DF|176|19|0
23|Danijel SUBASIC|Croatia|SUBAŠIĆ|Danijel|SUBAŠIĆ|GK|191|38|0
1|Kasper SCHMEICHEL|Denmark|SCHMEICHEL|Kasper Peter|SCHMEICHEL|GK|190|35|0
2|Michael KROHN-DEHLI|Denmark|KROHN-DEHLI|Michael|KROHN-DEHLI|MF|171|58|6
3|Jannik VESTERGAARD|Denmark|VESTERGAARD|Jannik|VESTERGAARD|DF|200|16|1
4|Simon KJAER|Denmark|KJAER|Simon Thorup|KJÆR|DF|191|75|3
5|Jonas KNUDSEN|Denmark|KNUDSEN|Jonas Hjort|KNUDSEN|DF|187|3|0
6|Andreas CHRISTENSEN|Denmark|CHRISTENSEN|Andreas Bodtker|CHRISTENSEN|DF|192|16|1
7|William KVIST|Denmark|KVIST|William Vitved|KVIST|MF|185|80|2
8|Thomas DELANEY|Denmark|DELANEY|Thomas Joseph|DELANEY|MF|180|27|4
9|Nicolai JORGENSEN|Denmark|JORGENSEN|Nicolai Mick|N. JØRGENSEN|FW|194|31|8
10|Christian ERIKSEN|Denmark|ERIKSEN|Christian Dannemann|ERIKSEN|MF|181|78|22
11|Martin BRAITHWAITE|Denmark|BRAITHWAITE|Martin Christensen|BRAITHWAITE|FW|180|20|1
12|Kasper DOLBERG|Denmark|RASMUSSEN|Kasper Dolberg|DOLBERG|FW|187|6|1
13|Mathias JORGENSEN|Denmark|JORGENSEN|Mathias Jattah-Njie|M. JØRGENSEN|DF|191|12|0
14|Henrik DALSGAARD|Denmark|DALSGAARD|Henrik|DALSGAARD|DF|190|11|0
15|Viktor FISCHER|Denmark|FISCHER|Viktor Gorridsen|FISCHER|FW|181|19|3
16|Jonas LOSSL|Denmark|LÖSSL|Jonas Bybjerg|LÖSSL|GK|195|1|0
17|Jens Stryger LARSEN|Denmark|LARSEN|Jens Stryger|STRYGER|DF|182|13|1
18|Lukas LERAGER|Denmark|LERAGER|Lukas Reiff|LERAGER|MF|186|4|0
19|Lasse SCHONE|Denmark|SCHÖNE|Lasse|SCHÖNE|MF|178|36|3
20|Yussuf Yurary POULSEN|Denmark|POULSEN|Yussuf Yurary|YURARY|FW|193|28|4
21|Andreas CORNELIUS|Denmark|CORNELIUS|Andreas Evald|CORNELIUS|FW|195|18|4
22|Frederik RONNOW|Denmark|RØNNOW|Frederik Riis|RØNNOW|GK|190|6|0
23|Pione SISTO|Denmark|EMIRMIJA|Pione Sisto Ifolo|SISTO|FW|173|14|1
1|ESSAM ELHADARY|Egypt|KAMAL TAWFIK EL HADARY|Essam|ELHADARY|GK|190|158|0
2|ALI GABR|Egypt|GABR|Ali|ALI GABR|DF|191|22|1
3|AHMED ELMOHAMADY|Egypt|ABDELFATTAH|Ahmed Elmohamady|ELMOHAMADY|DF|183|84|2
4|OMAR GABER|Egypt|GABER|Omar|O. GABER|MF|175|24|0
5|SAM MORSY|Egypt|SAYED MORSY|Samy|MORSY|MF|173|5|0
6|AHMED HEGAZY|Egypt|HEGAZY|Ahmed Elsayed|A. HEGAZY|DF|194|45|1
7|AHMED FATHI|Egypt|IBRAHIM|Ahmed Fathy AbdelmonemAhmed|A. FATHI|DF|176|128|3
8|TAREK HAMED|Egypt|HAMED|Tarek|TAREK HAMED|MF|169|23|0
9|MARWAN MOHSEN|Egypt|GAMALELDIN MAHMOUD FAHMY|Marwan Mohsen|MARWAN|FW|185|22|4
10|MOHAMED SALAH|Egypt|GHALY|Mohamed Salah|M SALAH|FW|175|56|35
11|KAHRABA|Egypt|SOLIMAN|Mahmoud Abdelmoneim|M. KAHRABA|FW|182|22|3
12|AYMAN ASHRAF|Egypt|ELSEMBESKANY|Ayman Ashraf|A. ASHRAF|DF|176|3|1
13|MOHAMED ABDELSHAFY|Egypt|ABOUZID|Mohamed Abdelshafy Said|ABDELSHAFY|DF|171|52|2
14|RAMADAN SOBHY|Egypt|AHMED|Ramadan Sobhy|RAMADAN|FW|183|25|1
15|MAHMOUD HAMDY|Egypt|ATTIA|Mahmoud Hamdy|M. HAMDY|DF|173|1|0
16|SHERIF EKRAMY|Egypt|AHMED|Sherif Ekramy Ahmed|EKRAMY|GK|193|23|0
17|MOHAMED ELNENY|Egypt|ELNENY|Mohamed Nasser Elsayed|M. ELNENY|MF|181|61|5
18|SHIKABALA|Egypt|FADLALA|Mahmoud AbdelrazekHassan|SHIKABALA|FW|183|32|2
19|ABDALLA SAID|Egypt|BEKHIT|Abdalla Mahmoud Said|ABDALLA|MF|176|38|6
20|SAMIR SAAD|Egypt|ALI|Saadeldin Samir Saad|S. SAMIR|DF|183|11|0
21|TREZEGUET|Egypt|HASSAN|Mahmoud Ahmed Ibrahim|M. TREZEGUET|MF|181|26|2
22|AMR WARDA|Egypt|WARDA|Amr Medhat|WARDA|FW|179|17|0
23|MOHAMED ELSHENAWY|Egypt|ELSHENAWY GOMAA|Mohamed ElsayedMohamed|M. ELSHENAWY|GK|191|3|0
1|Jordan PICKFORD|England|PICKFORD|Jordan Lee|PICKFORD|GK|185|3|0
2|Kyle WALKER|England|WALKER|Kyle Andrew|WALKER|DF|178|35|0
3|Danny ROSE|England|ROSE|Daniel Lee|ROSE|DF|173|18|0
4|Eric DIER|England|DIER|Eric Jeremy Edgar|DIER|MF|188|26|3
5|John STONES|England|STONES|John|STONES|DF|188|26|0
6|Harry MAGUIRE|England|MAGUIRE|Jacob Harry|MAGUIRE|DF|193|5|0
7|Jesse LINGARD|England|LINGARD|Jesse Ellis|LINGARD|MF|175|12|1
8|Jordan HENDERSON|England|HENDERSON|Jordan Brian|HENDERSON|MF|183|39|0
9|Harry KANE|England|KANE|Harry Edward|KANE|FW|188|24|13
10|Raheem STERLING|England|STERLING|Raheem|STERLING|FW|170|38|2
11|Jamie VARDY|England|VARDY|Jamie Richard|VARDY|FW|178|22|7
12|Kieran TRIPPIER|England|TRIPPIER|Kieran John|TRIPPIER|DF|178|7|0
13|Jack BUTLAND|England|BUTLAND|Jack|BUTLAND|GK|196|8|0
14|Danny WELBECK|England|WELBECK|Daniel|WELBECK|FW|184|39|16
15|Gary CAHILL|England|CAHILL|Gary James|CAHILL|DF|191|60|5
16|Phil JONES|England|JONES|Philip Anthony|JONES|DF|182|25|0
17|Fabian DELPH|England|DELPH|Fabian|DELPH|DF|174|11|0
18|Ashley YOUNG|England|YOUNG|Ashley Simon|YOUNG|DF|175|34|7
19|Marcus RASHFORD|England|RASHFORD|Marcus|RASHFORD|FW|180|19|3
20|Dele ALLI|England|ALLI|Bamidele Jermaine|DELE|MF|188|25|2
21|Ruben LOFTUS-CHEEK|England|LOFTUS-CHEEK|Ruben Ira|LOFTUS-CHEEK|MF|190|4|0
22|Trent ALEXANDER-ARNOLD|England|ALEXANDER-ARNOLD|Trent John|ALEXANDER-ARNOLD|DF|175|1|0
23|Nick POPE|England|POPE|Nicholas David|POPE|GK|191|1|0
1|Hugo LLORIS|France|LLORIS|Hugo|LLORIS|GK|188|98|0
2|Benjamin PAVARD|France|PAVARD|Benjamin|PAVARD|DF|186|6|0
3|Presnel KIMPEMBE|France|KIMPEMBE|Presnel|KIMPEMBE|DF|182|2|0
4|Raphael VARANE|France|VARANE|Raphaël Xavier|VARANE|DF|191|42|2
5|Samuel UMTITI|France|UMTITI|Samuel|UMTITI|DF|183|19|2
6|Paul POGBA|France|POGBA|Paul Labile|POGBA|MF|191|54|9
7|Antoine GRIEZMANN|France|GRIEZMANN|Antoine|GRIEZMANN|FW|174|54|20
8|Thomas LEMAR|France|LEMAR|Thomas|LEMAR|FW|172|12|3
9|Olivier GIROUD|France|GIROUD|Olivier|GIROUD|FW|193|74|31
10|Kylian MBAPPE|France|MBAPPE LOTTIN|Kylian|MBAPPE|FW|178|15|4
11|Ousmane DEMBELE|France|DEMBELE|Ousmane|DEMBELE|FW|178|12|2
12|Corentin TOLISSO|France|TOLISSO|Corentin|TOLISSO|MF|180|9|0
13|Ngolo KANTE|France|KANTE|N'golo|KANTE|MF|168|24|1
14|Blaise MATUIDI|France|MATUIDI|Blaise|MATUIDI|MF|180|67|9
15|Steven NZONZI|France|NZONZI|Steven|NZONZI|MF|197|4|0
